Förvaltning;Leverantör;Organisationsnummer;Verifikationsnummer;Konto;Kontotext;Belopp exkl moms
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684179;6442;Ekologiska livsmedel;9 429,95
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684187;6442;Ekologiska livsmedel;374,28
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684173;6441;Livsmedel;1 837,36
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685138;6441;Livsmedel;2 341,30
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685154;6441;Livsmedel;2 113,55
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685155;6441;Livsmedel;2 732,29
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685167;6461;Förbrukningsmaterial;-600,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685267;6442;Ekologiska livsmedel;1 152,72
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684254;6441;Livsmedel;1 132,50
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683971;6441;Livsmedel;5 141,56
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683971;6441;Livsmedel;120,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684010;6441;Livsmedel;3 054,07
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685139;6441;Livsmedel;3 447,84
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685168;6441;Livsmedel;20 032,80
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685168;6442;Ekologiska livsmedel;6 546,18
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601681612;6441;Livsmedel;111,62
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601681613;6441;Livsmedel;3 921,16
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683399;6442;Ekologiska livsmedel;64,84
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601682888;6441;Livsmedel;5 165,81
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601682888;6441;Livsmedel;120,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683399;6441;Livsmedel;893,52
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601669104;6441;Livsmedel;5 467,14
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601669104;6441;Livsmedel;80,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685538;7611;Avgifter;450,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601681376;6441;Livsmedel;5 068,61
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601681376;6441;Livsmedel;80,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601681611;6441;Livsmedel;43,29
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684493;6442;Ekologiska livsmedel;1 837,34
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684493;6441;Livsmedel;7 379,45
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684656;6442;Ekologiska livsmedel;2 340,40
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684655;6441;Livsmedel;326,85
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684656;6441;Livsmedel;8 527,45
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601665698;6441;Livsmedel;4 116,90
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683964;6441;Livsmedel;-400,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685285;6441;Livsmedel;-240,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683152;6441;Livsmedel;7 513,23
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683152;6441;Livsmedel;280,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683161;6441;Livsmedel;-120,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684275;6441;Livsmedel;-120,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683620;6441;Livsmedel;2 512,44
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683622;6441;Livsmedel;1 743,68
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601682895;6441;Livsmedel;-560,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683151;6441;Livsmedel;7 332,73
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683151;6441;Livsmedel;200,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684264;6441;Livsmedel;7 819,59
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683609;6441;Livsmedel;547,59
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683611;6441;Livsmedel;730,12
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683613;6441;Livsmedel;3 128,50
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683619;6441;Livsmedel;1 500,39
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683620;6442;Ekologiska livsmedel;255,90
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683619;6442;Ekologiska livsmedel;1 822,32
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683116;6442;Ekologiska livsmedel;1 157,95
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601681692;6441;Livsmedel;-63,14
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601681707;6441;Livsmedel;19,30
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683116;6441;Livsmedel;4 809,24
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683592;6441;Livsmedel;3 058,56
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601683613;6442;Ekologiska livsmedel;570,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668396;6441;Livsmedel;299,25
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668401;6441;Livsmedel;664,65
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668406;6441;Livsmedel;612,64
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668397;6442;Ekologiska livsmedel;999,87
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668409;6441;Livsmedel;176,45
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668412;6441;Livsmedel;377,39
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601669131;6442;Ekologiska livsmedel;993,14
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601681324;6442;Ekologiska livsmedel;1 578,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601662577;6441;Livsmedel;45,51
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668393;6441;Livsmedel;144,73
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668394;6441;Livsmedel;19,30
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601668395;6441;Livsmedel;182,53
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685265;6441;Livsmedel;239,84
